id,link,title,title_en,description_en,source
"7,https://www.bbc.co.uk/food/recipes/carrot_lentil_almond_67537,""Carrot, lentil and almond soup with wholemeal croûtons"",""Carrot, lentil and almond soup with wholemeal croûtons"",smoked paprika,bbc"
"7,https://www.bbc.co.uk/food/recipes/carrot_lentil_almond_67537,""Carrot, lentil and almond soup with wholemeal croûtons"",""Carrot, lentil and almond soup with wholemeal croûtons"",almonds,bbc"
"7,https://www.bbc.co.uk/food/recipes/carrot_lentil_almond_67537,""Carrot, lentil and almond soup with wholemeal croûtons"",""Carrot, lentil and almond soup with wholemeal croûtons"",black pepper,bbc"
"7,https://www.bbc.co.uk/food/recipes/carrot_lentil_almond_67537,""Carrot, lentil and almond soup with wholemeal croûtons"",""Carrot, lentil and almond soup with wholemeal croûtons"",dried chilli,bbc"
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,olive oil,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,bacon,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,bacon,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,carrots,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,celery,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,garlic,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,onions,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,tomato purée,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,chopped tomatoes,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,bouquet garni,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,vegetable stock,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,courgettes,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,pasta,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,parsley,bbc
8,https://www.bbc.co.uk/food/recipes/healthy_minestrone_soup_64571,Healthy minestrone soup,Healthy minestrone soup,Parmesan,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,butter,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,sunflower oil,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,onions,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,celery,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,garlic,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,chestnut mushrooms,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,vegetable stock,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,soy sauce,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,double cream,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,parsley,bbc
9,https://www.bbc.co.uk/food/recipes/chestnut_mushroom_soup_13672,Chestnut mushroom soup,Chestnut mushroom soup,black pepper,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,olive oil,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,onion,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,sweet potatoes,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,kale,bbc
10,https://www.bbc.co.uk/food/recipes/kale_and_bacon_soup_12133,Kale and bacon soup,Kale and bacon soup,vegetable stock,bbc
